TNZ,ZMTL,Tosontsengel Airport[1],"Tosontsengel, Mongolia"
TOA,KTOA,Zamperini Field,"Torrance, California, United States"
TOB,HLGN,Tobruk Airport,"Tobruk, Libya"
TOC,KTOC,Toccoa Airport (R.G. LeTourneau Field),"Toccoa, Georgia, United States"
TOD,WMBT,Tioman Airport,"Tioman Island, Pahang, Malaysia"
TOE,DTTZ,Tozeur–Nefta International Airport,"Tozeur, Tunisia"
TOF,UNTT,Bogashevo Airport,"Tomsk, Tomsk Oblast, Russia"
TOG,PATG,Togiak Airport,"Togiak, Alaska, United States"
TOH,NVSD,Torres Airport[1],"Torres Islands, Vanuatu"
TOI,KTOI,Troy Municipal Airport,"Troy, Alabama, United States"
TOJ,LETO,Madrid–Torrejón Airport,"Madrid, Community of Madrid, Spain"
TOK,,Torokina Airport[1],"Torokina, Papua New Guinea"
TOL,KTOL,Toledo Express Airport,"Toledo, Ohio, United States"
TOM,GATB,Timbuktu Airport,"Timbuktu (Tombouctou), Mali"
TON,,Tonu Airport[1],"Tonu, Papua New Guinea"
TOO,MRSV,San Vito de Java Airport[1],"San Vito, Costa Rica"
TOP,KTOP,Philip Billard Municipal Airport,"Topeka, Kansas, United States"
TOQ,SCBE,Barriles Airport[1],"Tocopilla, Chile"
TOR,KTOR,Torrington Municipal Airport,"Torrington, Wyoming, United States"
TOS,ENTC,"Tromsø Airport, Langnes","Tromsø, Norway"
TOT,SMCO,Totness Airstrip,"Totness, Suriname"
TOU,NWWU,Touho Airport[1],"Touho, New Caledonia"
TOV,,West End Seaplane Base[1],"Tortola, British Overseas Territory of Virgin Islands"
TOW,SBTD,Luiz dal Canalle Filho Airport[1],"Toledo, Paraná, Brazil"
TOX,USTO,Tobolsk Airport[1],"Tobolsk, Tyumen Oblast, Russia"
TOY,RJNT,Toyama Airport,"Toyama, Honshu, Japan"
TOZ,DITM,Mahana Airport[1],"Touba, Ivory Coast"
TPA,KTPA,Tampa International Airport,"Tampa, Florida, United States"
TPC,SETR,Tarapoa Airport[1],"Tarapoa, Ecuador"
TPE,RCTP,Taiwan Taoyuan International Airport,"Taoyuan, Taiwan"
TPF,KTPF,Peter O. Knight Airport,"Tampa, Florida, United States"
